Time[s], CS, SO_SIO1, WP_SIO2, SO_SO00, SCLK, RESET_SI03
0.007187308, 0, 1, 1, 0, 1, 0
0.007187398, 0, 1, 1, 0, 0, 0
0.007187400, 0, 0, 1, 0, 0, 0
0.007187484, 0, 0, 1, 0, 1, 0
0.007187574, 0, 1, 1, 0, 1, 0
0.007187576, 0, 1, 1, 0, 0, 0
0.007187662, 0, 1, 1, 0, 1, 0
0.007187754, 0, 0, 1, 0, 0, 0
0.007187840, 0, 0, 1, 0, 1, 0
0.007187930, 0, 1, 1, 0, 0, 0
0.007188018, 0, 1, 1, 0, 1, 0
0.007188108, 0, 1, 1, 0, 0, 0
0.007188194, 0, 1, 1, 0, 1, 0
0.007188286, 0, 1, 1, 0, 0, 0
0.007188288, 0, 0, 1, 0, 0, 0
0.007188372, 0, 0, 1, 0, 1, 0
0.007188462, 0, 1, 1, 0, 1, 0
0.007188464, 0, 1, 1, 0, 0, 0
0.007189818, 0, 1, 1, 0, 1, 0
0.007189908, 0, 1, 1, 0, 0, 0
0.007189996, 0, 1, 1, 0, 1, 0
0.007190086, 0, 1, 1, 0, 0, 0
0.007190174, 0, 1, 1, 0, 1, 0
0.007190264, 0, 1, 1, 0, 0, 0
0.007190266, 0, 0, 1, 0, 0, 0
0.007190352, 0, 0, 1, 0, 1, 0
0.007190440, 0, 1, 1, 0, 1, 0
0.007190442, 0, 1, 1, 0, 0, 0
0.007190530, 0, 1, 1, 0, 1, 0
0.007190620, 0, 1, 1, 0, 0, 0
0.007190708, 0, 1, 1, 0, 1, 0
0.007190798, 0, 1, 1, 0, 0, 0
0.007190886, 0, 1, 1, 0, 1, 0
0.007190976, 0, 1, 1, 0, 0, 0
0.007191064, 0, 1, 1, 0, 1, 0
0.007191154, 0, 1, 1, 0, 0, 0
0.007192262, 0, 1, 1, 0, 1, 0
0.007192354, 0, 1, 1, 0, 0, 0
0.007192356, 0, 0, 1, 0, 0, 0
0.007192440, 0, 0, 1, 0, 1, 0
0.007192530, 0, 1, 1, 0, 0, 0
0.007192618, 0, 1, 1, 0, 1, 0
0.007192708, 0, 1, 1, 0, 0, 0
0.007192796, 0, 1, 1, 0, 1, 0
0.007192886, 0, 1, 1, 0, 0, 0
0.007192972, 0, 1, 1, 0, 1, 0
0.007193064, 0, 1, 1, 0, 0, 0
0.007193150, 0, 1, 1, 0, 1, 0
0.007193240, 0, 1, 1, 0, 0, 0
0.007193328, 0, 1, 1, 0, 1, 0
0.007193418, 0, 1, 1, 0, 0, 0
0.007193420, 0, 0, 1, 0, 0, 0
0.007193506, 0, 0, 1, 0, 1, 0
0.007193596, 0, 0, 1, 0, 0, 0
0.007194684, 0, 0, 1, 0, 1, 0
0.007194776, 0, 0, 1, 0, 0, 0
0.007194862, 0, 0, 1, 0, 1, 0
0.007194954, 0, 0, 1, 0, 0, 0
0.007195040, 0, 0, 1, 0, 1, 0
0.007195132, 0, 0, 1, 0, 0, 0
0.007195218, 0, 0, 1, 0, 1, 0
0.007195310, 0, 0, 1, 0, 0, 0
0.007195396, 0, 0, 1, 0, 1, 0
0.007195488, 0, 0, 1, 0, 0, 0
0.007195574, 0, 0, 1, 0, 1, 0
0.007195664, 0, 1, 1, 0, 0, 0
0.007195752, 0, 1, 1, 0, 1, 0
0.007195842, 0, 1, 1, 0, 0, 0
0.007195930, 0, 1, 1, 0, 1, 0
0.007196020, 0, 1, 1, 0, 0, 0
0.007196022, 0, 0, 1, 0, 0, 0
0.007197440, 0, 0, 1, 0, 1, 0
0.007197530, 0, 0, 1, 0, 0, 0
0.007197618, 0, 0, 1, 0, 1, 0
0.007197708, 0, 0, 1, 0, 0, 0
0.007197796, 0, 0, 1, 0, 1, 0
0.007197886, 0, 0, 1, 0, 0, 0
0.007197974, 0, 0, 1, 0, 1, 0
0.007198064, 0, 0, 1, 0, 0, 0
0.007198152, 0, 0, 1, 0, 1, 0
0.007198242, 0, 0, 1, 0, 0, 0
0.007198330, 0, 0, 1, 0, 1, 0
0.007198420, 0, 0, 1, 0, 0, 0
0.007198508, 0, 0, 1, 0, 1, 0
0.007198598, 0, 0, 1, 0, 0, 0
0.007198686, 0, 0, 1, 0, 1, 0
0.007198774, 0, 1, 1, 0, 1, 0
0.007198776, 0, 1, 1, 0, 0, 0
0.007200108, 0, 1, 1, 0, 1, 0
0.007200198, 0, 1, 1, 0, 0, 0
0.007200284, 0, 1, 1, 0, 1, 0
0.007200376, 0, 1, 1, 0, 0, 0
0.007200462, 0, 1, 1, 0, 1, 0
0.007200554, 0, 1, 1, 0, 0, 0
0.007200556, 0, 0, 1, 0, 0, 0
0.007200640, 0, 0, 1, 0, 1, 0
